"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Aldh7a1","AL7A1_MOUSE","AL7A1_MOUSE",1,0,6,"AL7A1_MOUSE","Q9DBF1","AL7A1_MOUSE","AL7A1_MOUSE",1,0,6,"AL7A1_MOUSE","Q9DBF1","ALDH7A1"
"Aldh9a1","AL9A1_MOUSE","AL9A1_MOUSE",6,0,11,"AL9A1_MOUSE","Q9JLJ2","AL9A1_MOUSE","AL9A1_MOUSE",6,0,11,"AL9A1_MOUSE","Q9JLJ2","ALDH9A1"
"Aldoa","ALDOA_MOUSE","ALDOA_MOUSE",11,1,18,"ALDOA_MOUSE","P05064","ALDOA_MOUSE","ALDOA_MOUSE",11,1,18,"ALDOA_MOUSE","P05064","ALDOA"
"Alg5","ALG5_MOUSE","ALG5_MOUSE",0,1,1,"ALG5_MOUSE","Q9DB25","ALG5_MOUSE","ALG5_MOUSE",0,1,1,"ALG5_MOUSE","Q9DB25","ALG5"
"Anxa11","ANX11_MOUSE","ANX11_MOUSE",7,5,12,"ANX11_MOUSE","P97384","ANX11_MOUSE","ANX11_MOUSE",7,5,12,"ANX11_MOUSE","P97384","ANXA11"
"Anxa2","ANXA2_MOUSE","ANXA2_MOUSE",14,11,21,"ANXA2_MOUSE","P07356","ANXA2_MOUSE","ANXA2_MOUSE",14,11,21,"ANXA2_MOUSE","P07356","ANXA2"
"Anxa4","ANXA4_MOUSE","ANXA4_MOUSE",13,6,13,"ANXA4_MOUSE","P97429","ANXA4_MOUSE","ANXA4_MOUSE",13,6,13,"ANXA4_MOUSE","P97429","ANXA4"
"Anxa5","ANXA5_MOUSE","ANXA5_MOUSE",15,9,17,"ANXA5_MOUSE","P48036","ANXA5_MOUSE","ANXA5_MOUSE",15,9,17,"ANXA5_MOUSE","P48036","ANXA5"
"Anxa6","ANXA6_MOUSE","ANXA6_MOUSE",4,0,8,"ANXA6_MOUSE","P14824","ANXA6_MOUSE","ANXA6_MOUSE",4,0,8,"ANXA6_MOUSE","P14824","ANXA6"
"Anxa7","ANXA7_MOUSE","ANXA7_MOUSE",5,0,8,"ANXA7_MOUSE","Q07076","ANXA7_MOUSE","ANXA7_MOUSE",5,0,8,"ANXA7_MOUSE","Q07076","ANXA7"
"Ap1b1","AP1B1_MOUSE","AP1B1_MOUSE",1,1,0,"AP1B1_MOUSE","O35643","AP1B1_MOUSE","AP1B1_MOUSE",1,1,0,"AP1B1_MOUSE","O35643","AP1B1"
"Aprt","APT_MOUSE","APT_MOUSE",9,3,10,"APT_MOUSE","P08030","APT_MOUSE","APT_MOUSE",9,3,10,"APT_MOUSE","P08030","APRT"
"Arf1","ARF1_MOUSE","ARF1_MOUSE",7,3,7,"ARF1_MOUSE","P84078","ARF1_MOUSE","ARF1_MOUSE",7,3,7,"ARF1_MOUSE","P84078","ARF1"
"Arf4","ARF4_MOUSE","ARF4_MOUSE",6,1,6,"ARF4_MOUSE","P61750","ARF4_MOUSE","ARF4_MOUSE",6,1,6,"ARF4_MOUSE","P61750","ARF4"
"Arhgap1","RHG01_MOUSE","RHG01_MOUSE",5,0,2,"RHG01_MOUSE","Q5FWK3","RHG01_MOUSE","RHG01_MOUSE",5,0,2,"RHG01_MOUSE","Q5FWK3","ARHGAP1"
"Arhgdia","GDIR1_MOUSE","GDIR1_MOUSE",9,5,9,"GDIR1_MOUSE","Q99PT1","GDIR1_MOUSE","GDIR1_MOUSE",9,5,9,"GDIR1_MOUSE","Q99PT1","ARHGDIA"
"Arhgef6","ARHG6_MOUSE","ARHG6_MOUSE",6,8,12,"ARHG6_MOUSE","Q8K4I3","ARHG6_MOUSE","ARHG6_MOUSE",6,8,12,"ARHG6_MOUSE","Q8K4I3","ARHGEF6"
"Arl1","ARL1_MOUSE","ARL1_MOUSE",1,1,1,"ARL1_MOUSE","P61211","ARL1_MOUSE","ARL1_MOUSE",1,1,1,"ARL1_MOUSE","P61211","ARL1"
"Arpc1b","ARC1B_MOUSE","ARC1B_MOUSE",2,0,10,"ARC1B_MOUSE","Q9WV32","ARC1B_MOUSE","ARC1B_MOUSE",2,0,10,"ARC1B_MOUSE","Q9WV32","ARPC1B"
"Arpc2","ARPC2_MOUSE","ARPC2_MOUSE",5,1,7,"ARPC2_MOUSE","Q9CVB6","ARPC2_MOUSE","ARPC2_MOUSE",5,1,7,"ARPC2_MOUSE","Q9CVB6","ARPC2"
"Arpc3","ARPC3_MOUSE","ARPC3_MOUSE",3,0,2,"ARPC3_MOUSE","Q9JM76","ARPC3_MOUSE","ARPC3_MOUSE",3,0,2,"ARPC3_MOUSE","Q9JM76","ARPC3"
"Arpc4","ARPC4_MOUSE","ARPC4_MOUSE",1,1,7,"ARPC4_MOUSE","P59999","ARPC4_MOUSE","ARPC4_MOUSE",1,1,7,"ARPC4_MOUSE","P59999","ARPC4"
"Arpc5","ARPC5_MOUSE","ARPC5_MOUSE",2,0,3,"ARPC5_MOUSE","Q9CPW4","ARPC5_MOUSE","ARPC5_MOUSE",2,0,3,"ARPC5_MOUSE","Q9CPW4","ARPC5"
"Asap2","ASAP2_MOUSE","ASAP2_MOUSE",1,1,0,"ASAP2_MOUSE","Q7SIG6","ASAP2_MOUSE","ASAP2_MOUSE",1,1,0,"ASAP2_MOUSE","Q7SIG6","ASAP2"
"Asns","ASNS_MOUSE","ASNS_MOUSE",0,2,9,"ASNS_MOUSE","Q61024","ASNS_MOUSE","ASNS_MOUSE",0,2,9,"ASNS_MOUSE","Q61024","ASNS"
"Ass1","ASSY_MOUSE","ASSY_MOUSE",3,0,8,"ASSY_MOUSE","P16460","ASSY_MOUSE","ASSY_MOUSE",3,0,8,"ASSY_MOUSE","P16460","ASS1"
"Atic","PUR9_MOUSE","PUR9_MOUSE",5,3,13,"PUR9_MOUSE","Q9CWJ9","PUR9_MOUSE","PUR9_MOUSE",5,3,13,"PUR9_MOUSE","Q9CWJ9","ATIC"
"Atp1a1","AT1A1_MOUSE","AT1A1_MOUSE",4,5,5,"AT1A1_MOUSE","Q8VDN2","AT1A1_MOUSE","AT1A1_MOUSE",4,5,5,"AT1A1_MOUSE","Q8VDN2","ATP1A1"
"Atp2a2","AT2A2_MOUSE","AT2A2_MOUSE",4,5,6,"AT2A2_MOUSE","O55143","AT2A2_MOUSE","AT2A2_MOUSE",4,5,6,"AT2A2_MOUSE","O55143","ATP2A2"
"Atp6v1a","VATA_MOUSE","VATA_MOUSE",2,0,5,"VATA_MOUSE","P50516","VATA_MOUSE","VATA_MOUSE",2,0,5,"VATA_MOUSE","P50516","ATP6V1A"
"Atp6v1b2","VATB2_MOUSE","VATB2_MOUSE",1,0,1,"VATB2_MOUSE","P62814","VATB2_MOUSE","VATB2_MOUSE",1,0,1,"VATB2_MOUSE","P62814","ATP6V1B2"
"Atxn10","ATX10_MOUSE","ATX10_MOUSE",17,11,23,"ATX10_MOUSE","P28658","ATX10_MOUSE","ATX10_MOUSE",17,11,23,"ATX10_MOUSE","P28658","ATXN10"
"Bax","BAX_MOUSE","BAX_MOUSE",0,1,1,"BAX_MOUSE","Q07813","BAX_MOUSE","BAX_MOUSE",0,1,1,"BAX_MOUSE","Q07813","BAX"
"Bcap31","BAP31_MOUSE","BAP31_MOUSE",1,1,3,"BAP31_MOUSE","Q61335","BAP31_MOUSE","BAP31_MOUSE",1,1,3,"BAP31_MOUSE","Q61335","BCAP31"
"Bin2","BIN2_MOUSE","BIN2_MOUSE",2,0,2,"BIN2_MOUSE","D3Z6Q9","BIN2_MOUSE","BIN2_MOUSE",2,0,2,"BIN2_MOUSE","D3Z6Q9","BIN2"
"Bzw1","BZW1_MOUSE","BZW1_MOUSE",3,1,3,"BZW1_MOUSE","Q9CQC6","BZW1_MOUSE","BZW1_MOUSE",3,1,3,"BZW1_MOUSE","Q9CQC6","BZW1"
"C1qtnf1","C1QT1_MOUSE","C1QT1_MOUSE",2,1,0,"C1QT1_MOUSE","Q9QXP7","C1QT1_MOUSE","C1QT1_MOUSE",2,1,0,"C1QT1_MOUSE","Q9QXP7","C1QTNF1"
"Cad","PYR1_MOUSE","PYR1_MOUSE",2,4,1,"PYR1_MOUSE","B2RQC6","PYR1_MOUSE","PYR1_MOUSE",2,4,1,"PYR1_MOUSE","B2RQC6","CAD"
"Calm1","CALM1_MOUSE","CALM1_MOUSE",11,1,4,"CALM1_MOUSE","P0DP26","CALM1_MOUSE","CALM1_MOUSE",11,1,4,"CALM1_MOUSE","P0DP26","CALM1"
"Calm2","CALM2_MOUSE","CALM2_MOUSE",11,1,4,"CALM2_MOUSE","P0DP27","CALM2_MOUSE","CALM2_MOUSE",11,1,4,"CALM2_MOUSE","P0DP27","CALM2"
"Calm3","CALM3_MOUSE","CALM3_MOUSE",11,1,4,"CALM3_MOUSE","P0DP28","CALM3_MOUSE","CALM3_MOUSE",11,1,4,"CALM3_MOUSE","P0DP28","CALM3"
"Calr","CALR_MOUSE","CALR_MOUSE",43,29,28,"CALR_MOUSE","P14211","CALR_MOUSE","CALR_MOUSE",43,29,28,"CALR_MOUSE","P14211","CALR"
