"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Iqgap1","IQGA1_MOUSE","IQGA1_MOUSE",32,28,51,"IQGA1_MOUSE","Q9JKF1","IQGA1_MOUSE","IQGA1_MOUSE",32,28,51,"IQGA1_MOUSE","Q9JKF1","IQGAP1"
"Itgav","ITAV_MOUSE","ITAV_MOUSE",12,6,15,"ITAV_MOUSE","P43406","ITAV_MOUSE","ITAV_MOUSE",12,6,15,"ITAV_MOUSE","P43406","ITGAV"
"Itgb1","ITB1_MOUSE","ITB1_MOUSE",1,0,6,"ITB1_MOUSE","P09055","ITB1_MOUSE","ITB1_MOUSE",1,0,6,"ITB1_MOUSE","P09055","ITGB1"
"Itgb3","ITB3_MOUSE","ITB3_MOUSE",9,4,9,"ITB3_MOUSE","O54890","ITB3_MOUSE","ITB3_MOUSE",9,4,9,"ITB3_MOUSE","O54890","ITGB3"
"Jup","PLAK_MOUSE","PLAK_MOUSE",1,7,3,"PLAK_MOUSE","Q02257","PLAK_MOUSE","PLAK_MOUSE",1,7,3,"PLAK_MOUSE","Q02257","JUP"
"Kif5b","KINH_MOUSE","KINH_MOUSE",2,1,2,"KINH_MOUSE","Q61768","KINH_MOUSE","KINH_MOUSE",2,1,2,"KINH_MOUSE","Q61768","KIF5B"
"Kpna3","IMA4_MOUSE","IMA4_MOUSE",7,3,9,"IMA4_MOUSE","O35344","IMA4_MOUSE","IMA4_MOUSE",7,3,9,"IMA4_MOUSE","O35344","KPNA3"
"Kpnb1","IMB1_MOUSE","IMB1_MOUSE",13,13,16,"IMB1_MOUSE","P70168","IMB1_MOUSE","IMB1_MOUSE",13,13,16,"IMB1_MOUSE","P70168","KPNB1"
"Krt1","K2C1_MOUSE","K2C1_MOUSE",3,4,7,"K2C1_MOUSE","P04104","K2C1_MOUSE","K2C1_MOUSE",3,4,7,"K2C1_MOUSE","P04104","KRT1"
"Krt10","K1C10_MOUSE","K1C10_MOUSE",5,4,11,"K1C10_MOUSE","P02535","K1C10_MOUSE","K1C10_MOUSE",5,4,11,"K1C10_MOUSE","P02535","KRT10"
"Krt13","K1C13_MOUSE","K1C13_MOUSE",4,0,6,"K1C13_MOUSE","P08730","K1C13_MOUSE","K1C13_MOUSE",4,0,6,"K1C13_MOUSE","P08730","KRT13"
"Krt14","K1C14_MOUSE","K1C14_MOUSE",2,9,6,"K1C14_MOUSE","Q61781","K1C14_MOUSE","K1C14_MOUSE",2,9,6,"K1C14_MOUSE","Q61781","KRT14"
"Krt18","K1C18_MOUSE","K1C18_MOUSE",6,1,11,"K1C18_MOUSE","P05784","K1C18_MOUSE","K1C18_MOUSE",6,1,11,"K1C18_MOUSE","P05784","KRT18"
"Krt2","K22E_MOUSE","K22E_MOUSE",1,4,5,"K22E_MOUSE","Q3TTY5","K22E_MOUSE","K22E_MOUSE",1,4,5,"K22E_MOUSE","Q3TTY5","KRT2"
"Krt5","K2C5_MOUSE","K2C5_MOUSE",3,7,5,"K2C5_MOUSE","Q922U2","K2C5_MOUSE","K2C5_MOUSE",3,7,5,"K2C5_MOUSE","Q922U2","KRT5"
"Krt6a","K2C6A_MOUSE","K2C6A_MOUSE",3,0,4,"K2C6A_MOUSE","P50446","K2C6A_MOUSE","K2C6A_MOUSE",3,0,4,"K2C6A_MOUSE","P50446","KRT6A"
"Krt72","K2C72_MOUSE","K2C72_MOUSE",1,0,2,"K2C72_MOUSE","Q6IME9","K2C72_MOUSE","K2C72_MOUSE",1,0,2,"K2C72_MOUSE","Q6IME9","KRT72"
"Krt73","K2C73_MOUSE","K2C73_MOUSE",0,4,4,"K2C73_MOUSE","Q6NXH9","K2C73_MOUSE","K2C73_MOUSE",0,4,4,"K2C73_MOUSE","Q6NXH9","KRT73"
"Krt75","K2C75_MOUSE","K2C75_MOUSE",3,6,0,"K2C75_MOUSE","Q8BGZ7","K2C75_MOUSE","K2C75_MOUSE",3,6,0,"K2C75_MOUSE","Q8BGZ7","KRT75"
"Krt76","K22O_MOUSE","K22O_MOUSE",3,4,5,"K22O_MOUSE","Q3UV17","K22O_MOUSE","K22O_MOUSE",3,4,5,"K22O_MOUSE","Q3UV17","KRT76"
"Krt77","K2C1B_MOUSE","K2C1B_MOUSE",3,4,4,"K2C1B_MOUSE","Q6IFZ6","K2C1B_MOUSE","K2C1B_MOUSE",3,4,4,"K2C1B_MOUSE","Q6IFZ6","KRT77"
"Krt79","K2C79_MOUSE","K2C79_MOUSE",0,3,1,"K2C79_MOUSE","Q8VED5","K2C79_MOUSE","K2C79_MOUSE",0,3,1,"K2C79_MOUSE","Q8VED5","KRT79"
"Krt8","K2C8_MOUSE","K2C8_MOUSE",4,4,8,"K2C8_MOUSE","P11679","K2C8_MOUSE","K2C8_MOUSE",4,4,8,"K2C8_MOUSE","P11679","KRT8"
"Lamc1","LAMC1_MOUSE","LAMC1_MOUSE",3,0,18,"LAMC1_MOUSE","P02468","LAMC1_MOUSE","LAMC1_MOUSE",3,0,18,"LAMC1_MOUSE","P02468","LAMC1"
"Lasp1","LASP1_MOUSE","LASP1_MOUSE",3,2,4,"LASP1_MOUSE","Q61792","LASP1_MOUSE","LASP1_MOUSE",3,2,4,"LASP1_MOUSE","Q61792","LASP1"
"Lcp1","PLSL_MOUSE","PLSL_MOUSE",14,2,26,"PLSL_MOUSE","Q61233","PLSL_MOUSE","PLSL_MOUSE",14,2,26,"PLSL_MOUSE","Q61233","LCP1"
"Ldha","LDHA_MOUSE","LDHA_MOUSE",19,14,22,"LDHA_MOUSE","P06151","LDHA_MOUSE","LDHA_MOUSE",19,14,22,"LDHA_MOUSE","P06151","LDHA"
"Ldhb","LDHB_MOUSE","LDHB_MOUSE",6,1,9,"LDHB_MOUSE","P16125","LDHB_MOUSE","LDHB_MOUSE",6,1,9,"LDHB_MOUSE","P16125","LDHB"
"Lgals1","LEG1_MOUSE","LEG1_MOUSE",6,6,6,"LEG1_MOUSE","P16045","LEG1_MOUSE","LEG1_MOUSE",6,6,6,"LEG1_MOUSE","P16045","LGALS1"
"Lgals3","LEG3_MOUSE","LEG3_MOUSE",5,0,6,"LEG3_MOUSE","P16110","LEG3_MOUSE","LEG3_MOUSE",5,0,6,"LEG3_MOUSE","P16110","LGALS3"
"Lgals3bp","LG3BP_MOUSE","LG3BP_MOUSE",9,3,8,"LG3BP_MOUSE","Q07797","LG3BP_MOUSE","LG3BP_MOUSE",9,3,8,"LG3BP_MOUSE","Q07797","LGALS3BP"
"Lgals9","LEG9_MOUSE","LEG9_MOUSE",7,2,6,"LEG9_MOUSE","O08573","LEG9_MOUSE","LEG9_MOUSE",7,2,6,"LEG9_MOUSE","O08573","LGALS9"
"Lman1","LMAN1_MOUSE","LMAN1_MOUSE",3,2,6,"LMAN1_MOUSE","Q9D0F3","LMAN1_MOUSE","LMAN1_MOUSE",3,2,6,"LMAN1_MOUSE","Q9D0F3","LMAN1"
"Lman2","LMAN2_MOUSE","LMAN2_MOUSE",7,3,9,"LMAN2_MOUSE","Q9DBH5","LMAN2_MOUSE","LMAN2_MOUSE",7,3,9,"LMAN2_MOUSE","Q9DBH5","LMAN2"
"Lrpap1","AMRP_MOUSE","AMRP_MOUSE",4,0,2,"AMRP_MOUSE","P55302","AMRP_MOUSE","AMRP_MOUSE",4,0,2,"AMRP_MOUSE","P55302","LRPAP1"
"Lrrc59","LRC59_MOUSE","LRC59_MOUSE",2,1,5,"LRC59_MOUSE","Q922Q8","LRC59_MOUSE","LRC59_MOUSE",2,1,5,"LRC59_MOUSE","Q922Q8","LRRC59"
"Lrrfip1","LRRF1_MOUSE","LRRF1_MOUSE",1,1,0,"LRRF1_MOUSE","Q3UZ39","LRRF1_MOUSE","LRRF1_MOUSE",1,1,0,"LRRF1_MOUSE","Q3UZ39","LRRFIP1"
"Lyz1","LYZ1_MOUSE","LYZ1_MOUSE",0,1,1,"LYZ1_MOUSE","P17897","LYZ1_MOUSE","LYZ1_MOUSE",0,1,1,"LYZ1_MOUSE","P17897","LYZ"
"Lyz2","LYZ2_MOUSE","LYZ2_MOUSE",0,1,1,"LYZ2_MOUSE","P08905","LYZ2_MOUSE","LYZ2_MOUSE",0,1,1,"LYZ2_MOUSE","P08905","LYZ"
"Maged1","MAGD1_MOUSE","MAGD1_MOUSE",1,2,1,"MAGD1_MOUSE","Q9QYH6","MAGD1_MOUSE","MAGD1_MOUSE",1,2,1,"MAGD1_MOUSE","Q9QYH6","MAGED1"
"Manf","MANF_MOUSE","MANF_MOUSE",9,1,10,"MANF_MOUSE","Q9CXI5","MANF_MOUSE","MANF_MOUSE",9,1,10,"MANF_MOUSE","Q9CXI5","MANF"
"Map2k1","MP2K1_MOUSE","MP2K1_MOUSE",1,0,3,"MP2K1_MOUSE","P31938","MP2K1_MOUSE","MP2K1_MOUSE",1,0,3,"MP2K1_MOUSE","P31938","MAP2K1"
"Map4","MAP4_MOUSE","MAP4_MOUSE",1,0,1,"MAP4_MOUSE","P27546","MAP4_MOUSE","MAP4_MOUSE",1,0,1,"MAP4_MOUSE","P27546","MAP4"
"Mapk1","MK01_MOUSE","MK01_MOUSE",9,3,13,"MK01_MOUSE","P63085","MK01_MOUSE","MK01_MOUSE",9,3,13,"MK01_MOUSE","P63085","MAPK1"
"Mapre1","MARE1_MOUSE","MARE1_MOUSE",1,0,2,"MARE1_MOUSE","Q61166","MARE1_MOUSE","MARE1_MOUSE",1,0,2,"MARE1_MOUSE","Q61166","MAPRE1"
"Mars1","SYMC_MOUSE","SYMC_MOUSE",1,2,3,"SYMC_MOUSE","Q68FL6","SYMC_MOUSE","SYMC_MOUSE",1,2,3,"SYMC_MOUSE","Q68FL6","MARS1"
"Mcfd2","MCFD2_MOUSE","MCFD2_MOUSE",1,0,1,"MCFD2_MOUSE","Q8K5B2","MCFD2_MOUSE","MCFD2_MOUSE",1,0,1,"MCFD2_MOUSE","Q8K5B2","MCFD2"
"Mdh1","MDHC_MOUSE","MDHC_MOUSE",8,1,8,"MDHC_MOUSE","P14152","MDHC_MOUSE","MDHC_MOUSE",8,1,8,"MDHC_MOUSE","P14152","MDH1"
"Mdh2","MDHM_MOUSE","MDHM_MOUSE",4,0,8,"MDHM_MOUSE","P08249","MDHM_MOUSE","MDHM_MOUSE",4,0,8,"MDHM_MOUSE","P08249","MDH2"
"Me1","MAOX_MOUSE","MAOX_MOUSE",3,0,14,"MAOX_MOUSE","P06801","MAOX_MOUSE","MAOX_MOUSE",3,0,14,"MAOX_MOUSE","P06801","ME1"
"Mesd","MESD_MOUSE","MESD_MOUSE",2,0,2,"MESD_MOUSE","Q9ERE7","MESD_MOUSE","MESD_MOUSE",2,0,2,"MESD_MOUSE","Q9ERE7","MESD"
"Mif","MIF_MOUSE","MIF_MOUSE",4,0,2,"MIF_MOUSE","P34884","MIF_MOUSE","MIF_MOUSE",4,0,2,"MIF_MOUSE","P34884","MIF"
"Mlec","MLEC_MOUSE","MLEC_MOUSE",3,1,4,"MLEC_MOUSE","Q6ZQI3","MLEC_MOUSE","MLEC_MOUSE",3,1,4,"MLEC_MOUSE","Q6ZQI3","MLEC"
"Morc3","MORC3_MOUSE","MORC3_MOUSE",1,1,1,"MORC3_MOUSE","F7BJB9","MORC3_MOUSE","MORC3_MOUSE",1,1,1,"MORC3_MOUSE","F7BJB9","MORC3"
"Mtap","MTAP_MOUSE","MTAP_MOUSE",2,0,1,"MTAP_MOUSE","Q9CQ65","MTAP_MOUSE","MTAP_MOUSE",2,0,1,"MTAP_MOUSE","Q9CQ65","MTAP"
"Mtpn","MTPN_MOUSE","MTPN_MOUSE",1,0,2,"MTPN_MOUSE","P62774","MTPN_MOUSE","MTPN_MOUSE",1,0,2,"MTPN_MOUSE","P62774","MTPN"
"Mvp","MVP_MOUSE","MVP_MOUSE",5,6,20,"MVP_MOUSE","Q9EQK5","MVP_MOUSE","MVP_MOUSE",5,6,20,"MVP_MOUSE","Q9EQK5","MVP"
"Myh9","MYH9_MOUSE","MYH9_MOUSE",22,20,43,"MYH9_MOUSE","Q8VDD5","MYH9_MOUSE","MYH9_MOUSE",22,20,43,"MYH9_MOUSE","Q8VDD5","MYH9"
"Myl12b","ML12B_MOUSE","ML12B_MOUSE",2,0,5,"ML12B_MOUSE","Q3THE2","ML12B_MOUSE","ML12B_MOUSE",2,0,5,"ML12B_MOUSE","Q3THE2","MYL12B"
"Myl6","MYL6_MOUSE","MYL6_MOUSE",5,1,8,"MYL6_MOUSE","Q60605","MYL6_MOUSE","MYL6_MOUSE",5,1,8,"MYL6_MOUSE","Q60605","MYL6"
"Naca","NACAM_MOUSE","NACAM_MOUSE",2,1,4,"NACAM_MOUSE","P70670","NACA_MOUSE","NACA_MOUSE",2,1,0,"NACA_MOUSE","Q60817","NACA"
"Naca","NACA_MOUSE","NACA_MOUSE",2,1,0,"NACA_MOUSE","Q60817","NACAM_MOUSE","NACAM_MOUSE",2,1,4,"NACAM_MOUSE","P70670","NACA"
"Nans","SIAS_MOUSE","SIAS_MOUSE",3,0,6,"SIAS_MOUSE","Q99J77","SIAS_MOUSE","SIAS_MOUSE",3,0,6,"SIAS_MOUSE","Q99J77","NANS"
"Nap1l1","NP1L1_MOUSE","NP1L1_MOUSE",4,0,6,"NP1L1_MOUSE","P28656","NP1L1_MOUSE","NP1L1_MOUSE",4,0,6,"NP1L1_MOUSE","P28656","NAP1L1"
"Nap1l4","NP1L4_MOUSE","NP1L4_MOUSE",6,0,8,"NP1L4_MOUSE","Q78ZA7","NP1L4_MOUSE","NP1L4_MOUSE",6,0,8,"NP1L4_MOUSE","Q78ZA7","NAP1L4"
"Napa","SNAA_MOUSE","SNAA_MOUSE",1,0,10,"SNAA_MOUSE","Q9DB05","SNAA_MOUSE","SNAA_MOUSE",1,0,10,"SNAA_MOUSE","Q9DB05","NAPA"
"Nceh1","NCEH1_MOUSE","NCEH1_MOUSE",2,1,0,"NCEH1_MOUSE","Q8BLF1","NCEH1_MOUSE","NCEH1_MOUSE",2,1,0,"NCEH1_MOUSE","Q8BLF1","NCEH1"
"Ndrg1","NDRG1_MOUSE","NDRG1_MOUSE",3,0,2,"NDRG1_MOUSE","Q62433","NDRG1_MOUSE","NDRG1_MOUSE",3,0,2,"NDRG1_MOUSE","Q62433","NDRG1"
"Nedd4","NEDD4_MOUSE","NEDD4_MOUSE",2,0,3,"NEDD4_MOUSE","P46935","NEDD4_MOUSE","NEDD4_MOUSE",2,0,3,"NEDD4_MOUSE","P46935","NEDD4"
"Nme1","NDKA_MOUSE","NDKA_MOUSE",8,1,11,"NDKA_MOUSE","P15532","NDKA_MOUSE","NDKA_MOUSE",8,1,11,"NDKA_MOUSE","P15532","NME1"
"Nme2","NDKB_MOUSE","NDKB_MOUSE",9,1,10,"NDKB_MOUSE","Q01768","NDKB_MOUSE","NDKB_MOUSE",9,1,10,"NDKB_MOUSE","Q01768","NME2"
"Npc2","NPC2_MOUSE","NPC2_MOUSE",1,0,2,"NPC2_MOUSE","Q9Z0J0","NPC2_MOUSE","NPC2_MOUSE",1,0,2,"NPC2_MOUSE","Q9Z0J0","NPC2"
"Nsfl1c","NSF1C_MOUSE","NSF1C_MOUSE",3,0,6,"NSF1C_MOUSE","Q9CZ44","NSF1C_MOUSE","NSF1C_MOUSE",3,0,6,"NSF1C_MOUSE","Q9CZ44","NSFL1C"
"Nub1","NUB1_MOUSE","NUB1_MOUSE",6,5,4,"NUB1_MOUSE","P54729","NUB1_MOUSE","NUB1_MOUSE",6,5,4,"NUB1_MOUSE","P54729","NUB1"
"Nucb2","NUCB2_MOUSE","NUCB2_MOUSE",5,0,1,"NUCB2_MOUSE","P81117","NUCB2_MOUSE","NUCB2_MOUSE",5,0,1,"NUCB2_MOUSE","P81117","NUCB2"
"Nudc","NUDC_MOUSE","NUDC_MOUSE",2,0,3,"NUDC_MOUSE","O35685","NUDC_MOUSE","NUDC_MOUSE",2,0,3,"NUDC_MOUSE","O35685","NUDC"
"Obsl1","OBSL1_MOUSE","OBSL1_MOUSE",1,1,3,"OBSL1_MOUSE","D3YYU8","OBSL1_MOUSE","OBSL1_MOUSE",1,1,3,"OBSL1_MOUSE","D3YYU8","OBSL1"
"Ola1","OLA1_MOUSE","OLA1_MOUSE",2,0,5,"OLA1_MOUSE","Q9CZ30","OLA1_MOUSE","OLA1_MOUSE",2,0,5,"OLA1_MOUSE","Q9CZ30","OLA1"
"Osbp","OSBP1_MOUSE","OSBP1_MOUSE",3,0,3,"OSBP1_MOUSE","Q3B7Z2","OSBP1_MOUSE","OSBP1_MOUSE",3,0,3,"OSBP1_MOUSE","Q3B7Z2","OSBP"
"Ostc","OSTC_MOUSE","OSTC_MOUSE",0,1,1,"OSTC_MOUSE","Q78XF5","OSTC_MOUSE","OSTC_MOUSE",0,1,1,"OSTC_MOUSE","Q78XF5","OSTC"
"Ostf1","OSTF1_MOUSE","OSTF1_MOUSE",3,0,4,"OSTF1_MOUSE","Q62422","OSTF1_MOUSE","OSTF1_MOUSE",3,0,4,"OSTF1_MOUSE","Q62422","OSTF1"
"Otub1","OTUB1_MOUSE","OTUB1_MOUSE",3,0,3,"OTUB1_MOUSE","Q7TQI3","OTUB1_MOUSE","OTUB1_MOUSE",3,0,3,"OTUB1_MOUSE","Q7TQI3","OTUB1"
"P4ha1","P4HA1_MOUSE","P4HA1_MOUSE",12,6,13,"P4HA1_MOUSE","Q60715","P4HA1_MOUSE","P4HA1_MOUSE",12,6,13,"P4HA1_MOUSE","Q60715","P4HA1"
"P4ha2","P4HA2_MOUSE","P4HA2_MOUSE",8,7,11,"P4HA2_MOUSE","Q60716","P4HA2_MOUSE","P4HA2_MOUSE",8,7,11,"P4HA2_MOUSE","Q60716","P4HA2"
"P4hb","PDIA1_MOUSE","PDIA1_MOUSE",36,30,29,"PDIA1_MOUSE","P09103","PDIA1_MOUSE","PDIA1_MOUSE",36,30,29,"PDIA1_MOUSE","P09103","P4HB"
"Pa2g4","PA2G4_MOUSE","PA2G4_MOUSE",1,1,5,"PA2G4_MOUSE","P50580","PA2G4_MOUSE","PA2G4_MOUSE",1,1,5,"PA2G4_MOUSE","P50580","PA2G4"
"Pabpc1","PABP1_MOUSE","PABP1_MOUSE",3,0,6,"PABP1_MOUSE","P29341","PABP1_MOUSE","PABP1_MOUSE",3,0,6,"PABP1_MOUSE","P29341","PABPC1"
"Pafah1b1","LIS1_MOUSE","LIS1_MOUSE",4,1,6,"LIS1_MOUSE","P63005","LIS1_MOUSE","LIS1_MOUSE",4,1,6,"LIS1_MOUSE","P63005","PAFAH1B1"
"Pafah1b2","PA1B2_MOUSE","PA1B2_MOUSE",1,0,4,"PA1B2_MOUSE","Q61206","PA1B2_MOUSE","PA1B2_MOUSE",1,0,4,"PA1B2_MOUSE","Q61206","PAFAH1B2"
"Pafah1b3","PA1B3_MOUSE","PA1B3_MOUSE",1,0,1,"PA1B3_MOUSE","Q61205","PA1B3_MOUSE","PA1B3_MOUSE",1,0,1,"PA1B3_MOUSE","Q61205","PAFAH1B3"
"Pak2","PAK2_MOUSE","PAK2_MOUSE",5,0,9,"PAK2_MOUSE","Q8CIN4","PAK2_MOUSE","PAK2_MOUSE",5,0,9,"PAK2_MOUSE","Q8CIN4","PAK2"
"Pcbp1","PCBP1_MOUSE","PCBP1_MOUSE",5,4,10,"PCBP1_MOUSE","P60335","PCBP1_MOUSE","PCBP1_MOUSE",5,4,10,"PCBP1_MOUSE","P60335","PCBP1"
"Pcbp2","PCBP2_MOUSE","PCBP2_MOUSE",2,0,2,"PCBP2_MOUSE","Q61990","PCBP2_MOUSE","PCBP2_MOUSE",2,0,2,"PCBP2_MOUSE","Q61990","PCBP2"
"Pcbp3","PCBP3_MOUSE","PCBP3_MOUSE",2,0,2,"PCBP3_MOUSE","P57722","PCBP3_MOUSE","PCBP3_MOUSE",2,0,2,"PCBP3_MOUSE","P57722","PCBP3"
"Pdcd6ip","PDC6I_MOUSE","PDC6I_MOUSE",8,7,15,"PDC6I_MOUSE","Q9WU78","PDC6I_MOUSE","PDC6I_MOUSE",8,7,15,"PDC6I_MOUSE","Q9WU78","PDCD6IP"
"Pdha2","ODPAT_MOUSE","ODPAT_MOUSE",1,1,1,"ODPAT_MOUSE","P35487","ODPAT_MOUSE","ODPAT_MOUSE",1,1,1,"ODPAT_MOUSE","P35487","PDHA2"
"Pdia3","PDIA3_MOUSE","PDIA3_MOUSE",37,26,34,"PDIA3_MOUSE","P27773","PDIA3_MOUSE","PDIA3_MOUSE",37,26,34,"PDIA3_MOUSE","P27773","PDIA3"
"Pdia4","PDIA4_MOUSE","PDIA4_MOUSE",24,26,18,"PDIA4_MOUSE","P08003","PDIA4_MOUSE","PDIA4_MOUSE",24,26,18,"PDIA4_MOUSE","P08003","PDIA4"
"Pdia5","PDIA5_MOUSE","PDIA5_MOUSE",9,3,10,"PDIA5_MOUSE","Q921X9","PDIA5_MOUSE","PDIA5_MOUSE",9,3,10,"PDIA5_MOUSE","Q921X9","PDIA5"
"Pdia6","PDIA6_MOUSE","PDIA6_MOUSE",23,12,21,"PDIA6_MOUSE","Q922R8","PDIA6_MOUSE","PDIA6_MOUSE",23,12,21,"PDIA6_MOUSE","Q922R8","PDIA6"
"Pdlim1","PDLI1_MOUSE","PDLI1_MOUSE",12,1,13,"PDLI1_MOUSE","O70400","PDLI1_MOUSE","PDLI1_MOUSE",12,1,13,"PDLI1_MOUSE","O70400","PDLIM1"
"Pdxdc1","PDXD1_MOUSE","PDXD1_MOUSE",1,2,0,"PDXD1_MOUSE","Q99K01","PDXD1_MOUSE","PDXD1_MOUSE",1,2,0,"PDXD1_MOUSE","Q99K01","PDXDC1"
"Peg10","PEG10_MOUSE","PEG10_MOUSE",12,10,14,"PEG10_MOUSE","Q7TN75","PEG10_MOUSE","PEG10_MOUSE",12,10,14,"PEG10_MOUSE","Q7TN75","PEG10"
"Pepd","PEPD_MOUSE","PEPD_MOUSE",3,2,7,"PEPD_MOUSE","Q11136","PEPD_MOUSE","PEPD_MOUSE",3,2,7,"PEPD_MOUSE","Q11136","PEPD"
"Pfkp","PFKAP_MOUSE","PFKAP_MOUSE",15,10,20,"PFKAP_MOUSE","Q9WUA3","PFKAP_MOUSE","PFKAP_MOUSE",15,10,20,"PFKAP_MOUSE","Q9WUA3","PFKP"
"Pfn1","PROF1_MOUSE","PROF1_MOUSE",5,4,8,"PROF1_MOUSE","P62962","PROF1_MOUSE","PROF1_MOUSE",5,4,8,"PROF1_MOUSE","P62962","PFN1"
"Pgam1","PGAM1_MOUSE","PGAM1_MOUSE",8,2,10,"PGAM1_MOUSE","Q9DBJ1","PGAM1_MOUSE","PGAM1_MOUSE",8,2,10,"PGAM1_MOUSE","Q9DBJ1","PGAM1"
"Pgd","6PGD_MOUSE","6PGD_MOUSE",4,2,6,"6PGD_MOUSE","Q9DCD0","6PGD_MOUSE","6PGD_MOUSE",4,2,6,"6PGD_MOUSE","Q9DCD0","PGD"
"Pgk1","PGK1_MOUSE","PGK1_MOUSE",13,2,18,"PGK1_MOUSE","P09411","PGK1_MOUSE","PGK1_MOUSE",13,2,18,"PGK1_MOUSE","P09411","PGK1"
"Pgm1","PGM1_MOUSE","PGM1_MOUSE",7,4,11,"PGM1_MOUSE","Q9D0F9","PGM1_MOUSE","PGM1_MOUSE",7,4,11,"PGM1_MOUSE","Q9D0F9","PGM1"
"Pgm2","PGM2_MOUSE","PGM2_MOUSE",1,3,7,"PGM2_MOUSE","Q7TSV4","PGM2_MOUSE","PGM2_MOUSE",1,3,7,"PGM2_MOUSE","Q7TSV4","PGM2"
"Pgm3","AGM1_MOUSE","AGM1_MOUSE",3,0,3,"AGM1_MOUSE","Q9CYR6","AGM1_MOUSE","AGM1_MOUSE",3,0,3,"AGM1_MOUSE","Q9CYR6","PGM3"
"Pkm","KPYM_MOUSE","KPYM_MOUSE",24,27,30,"KPYM_MOUSE","P52480","KPYM_MOUSE","KPYM_MOUSE",24,27,30,"KPYM_MOUSE","P52480","PKM"
"Plac8","PLAC8_MOUSE","PLAC8_MOUSE",1,1,2,"PLAC8_MOUSE","Q9JI48","PLAC8_MOUSE","PLAC8_MOUSE",1,1,2,"PLAC8_MOUSE","Q9JI48","PLAC8"
"Plch1","PLCH1_MOUSE","PLCH1_MOUSE",1,0,1,"PLCH1_MOUSE","Q4KWH5","PLCH1_MOUSE","PLCH1_MOUSE",1,0,1,"PLCH1_MOUSE","Q4KWH5","PLCH1"
"Plin3","PLIN3_MOUSE","PLIN3_MOUSE",9,5,10,"PLIN3_MOUSE","Q9DBG5","PLIN3_MOUSE","PLIN3_MOUSE",9,5,10,"PLIN3_MOUSE","Q9DBG5","PLIN3"
"Pnp","PNPH_MOUSE","PNPH_MOUSE",4,0,7,"PNPH_MOUSE","P23492","PNPH_MOUSE","PNPH_MOUSE",4,0,7,"PNPH_MOUSE","P23492","PNP"
"Por","NCPR_MOUSE","NCPR_MOUSE",13,12,17,"NCPR_MOUSE","P37040","NCPR_MOUSE","NCPR_MOUSE",13,12,17,"NCPR_MOUSE","P37040","POR"
"Ppa1","IPYR_MOUSE","IPYR_MOUSE",1,0,5,"IPYR_MOUSE","Q9D819","IPYR_MOUSE","IPYR_MOUSE",1,0,5,"IPYR_MOUSE","Q9D819","PPA1"
"Ppia","PPIA_MOUSE","PPIA_MOUSE",8,3,8,"PPIA_MOUSE","P17742","PPIA_MOUSE","PPIA_MOUSE",8,3,8,"PPIA_MOUSE","P17742","PPIA"
"Ppib","PPIB_MOUSE","PPIB_MOUSE",11,6,12,"PPIB_MOUSE","P24369","PPIB_MOUSE","PPIB_MOUSE",11,6,12,"PPIB_MOUSE","P24369","PPIB"
"Ppic","PPIC_MOUSE","PPIC_MOUSE",1,0,1,"PPIC_MOUSE","P30412","PPIC_MOUSE","PPIC_MOUSE",1,0,1,"PPIC_MOUSE","P30412","PPIC"
"Ppp1ca","PP1A_MOUSE","PP1A_MOUSE",1,0,4,"PP1A_MOUSE","P62137","PP1A_MOUSE","PP1A_MOUSE",1,0,4,"PP1A_MOUSE","P62137","PPP1CA"
"Ppp2ca","PP2AA_MOUSE","PP2AA_MOUSE",1,0,4,"PP2AA_MOUSE","P63330","PP2AA_MOUSE","PP2AA_MOUSE",1,0,4,"PP2AA_MOUSE","P63330","PPP2CA"
"Ppp2r1a","2AAA_MOUSE","2AAA_MOUSE",5,3,13,"2AAA_MOUSE","Q76MZ3","2AAA_MOUSE","2AAA_MOUSE",5,3,13,"2AAA_MOUSE","Q76MZ3","PPP2R1A"
"Prdx1","PRDX1_MOUSE","PRDX1_MOUSE",7,6,12,"PRDX1_MOUSE","P35700","PRDX1_MOUSE","PRDX1_MOUSE",7,6,12,"PRDX1_MOUSE","P35700","PRDX1"
"Prdx2","PRDX2_MOUSE","PRDX2_MOUSE",4,0,10,"PRDX2_MOUSE","Q61171","PRDX2_MOUSE","PRDX2_MOUSE",4,0,10,"PRDX2_MOUSE","Q61171","PRDX2"
"Prdx4","PRDX4_MOUSE","PRDX4_MOUSE",2,3,6,"PRDX4_MOUSE","O08807","PRDX4_MOUSE","PRDX4_MOUSE",2,3,6,"PRDX4_MOUSE","O08807","PRDX4"
"Prdx5","PRDX5_MOUSE","PRDX5_MOUSE",1,0,1,"PRDX5_MOUSE","P99029","PRDX5_MOUSE","PRDX5_MOUSE",1,0,1,"PRDX5_MOUSE","P99029","PRDX5"
"Prdx6","PRDX6_MOUSE","PRDX6_MOUSE",2,0,8,"PRDX6_MOUSE","O08709","PRDX6_MOUSE","PRDX6_MOUSE",2,0,8,"PRDX6_MOUSE","O08709","PRDX6"
