"Accession.New","Accession.Number.ori","S3","S4","S5","P3","P4","P5","Accession.Number.uni","ProteinID","MouseGeneName"
"DDB1_MOUSE","DDB1_MOUSE",0,0,0,3,3,31,"DDB1_MOUSE","Q3U1J4","Ddb1"
"DDX3X_MOUSE","DDX3X_MOUSE",0,0,0,6,4,8,"DDX3X_MOUSE","Q62167","Ddx3x"
"DEGS1_MOUSE","DEGS1_MOUSE",0,0,0,1,1,2,"DEGS1_MOUSE","O09005","Degs1"
"DESP_MOUSE","DESP_MOUSE",0,0,0,0,5,2,"DESP_MOUSE","E9Q557","Dsp"
"DEST_MOUSE","DEST_MOUSE",0,1,0,5,1,5,"DEST_MOUSE","Q9R0P5","Dstn"
"DIAP1_MOUSE","DIAP1_MOUSE",0,0,0,2,2,0,"DIAP1_MOUSE","O08808","Diaph1"
"DJB11_MOUSE","DJB11_MOUSE",1,0,0,9,9,8,"DJB11_MOUSE","Q99KV1","Dnajb11"
"DNJA1_MOUSE","DNJA1_MOUSE",0,0,0,2,0,3,"DNJA1_MOUSE","P63037","Dnaja1"
"DNJB1_MOUSE","DNJB1_MOUSE",0,0,0,4,0,6,"DNJB1_MOUSE","Q9QYJ3","Dnajb1"
"DNJC3_MOUSE","DNJC3_MOUSE",0,0,0,15,10,16,"DNJC3_MOUSE","Q91YW3","Dnajc3"
"DNPEP_MOUSE","DNPEP_MOUSE",0,0,0,7,2,15,"DNPEP_MOUSE","Q9Z2W0","Dnpep"
"DOPD_MOUSE","DOPD_MOUSE",0,0,0,1,0,1,"DOPD_MOUSE","O35215","Ddt"
"DPP3_MOUSE","DPP3_MOUSE",0,0,0,7,4,15,"DPP3_MOUSE","Q99KK7","Dpp3"
"DUS6_MOUSE","DUS6_MOUSE",0,0,0,1,0,1,"DUS6_MOUSE","Q9DBB1","Dusp6"
"DUS7_MOUSE","DUS7_MOUSE",0,0,0,1,0,1,"DUS7_MOUSE","Q91Z46","Dusp7"
"DYHC1_MOUSE","DYHC1_MOUSE",0,0,0,31,26,53,"DYHC1_MOUSE","Q9JHU4","Dync1h1"
"DYL1_MOUSE","DYL1_MOUSE",0,0,0,1,0,2,"DYL1_MOUSE","P63168","Dynll1"
"DYN2_MOUSE","DYN2_MOUSE",0,0,0,5,6,7,"DYN2_MOUSE","P39054","Dnm2"
"E41L1_MOUSE","E41L1_MOUSE",0,0,0,3,2,0,"E41L1_MOUSE","Q9Z2H5","Epb41l1"
"E41L2_MOUSE","E41L2_MOUSE",0,0,0,1,2,2,"E41L2_MOUSE","O70318","Epb41l2"
"ECHA_MOUSE","ECHA_MOUSE",0,0,0,1,0,2,"ECHA_MOUSE","Q8BMS1","Hadha"
"ECM29_MOUSE","ECM29_MOUSE",0,0,0,2,1,0,"ECM29_MOUSE","Q6PDI5","Ecpas"
"EF1A1_MOUSE","EF1A1_MOUSE",3,1,2,22,18,27,"EF1A1_MOUSE","P10126","Eef1a1"
"EF1D_MOUSE","EF1D_MOUSE",0,0,0,5,1,9,"EF1D_MOUSE","P57776","Eef1d"
"EF1G_MOUSE","EF1G_MOUSE",0,0,0,12,9,19,"EF1G_MOUSE","Q9D8N0","Eef1g"
"EF2_MOUSE","EF2_MOUSE",1,0,0,29,30,35,"EF2_MOUSE","P58252","Eef2"
"EFHD2_MOUSE","EFHD2_MOUSE",0,0,0,5,0,6,"EFHD2_MOUSE","Q9D8Y0","Efhd2"
"EI3JA_MOUSE","EI3JA_MOUSE",0,2,0,8,1,6,"EI3JA_MOUSE","Q3UGC7","Eif3j1"
"EI3JB_MOUSE","EI3JB_MOUSE",0,2,0,8,1,6,"EI3JB_MOUSE","Q66JS6","Eif3j2"
"EIF3A_MOUSE","EIF3A_MOUSE",0,0,0,7,3,10,"EIF3A_MOUSE","P23116","Eif3a"
"EIF3B_MOUSE","EIF3B_MOUSE",0,0,0,5,4,16,"EIF3B_MOUSE","Q8JZQ9","Eif3b"
"EIF3C_MOUSE","EIF3C_MOUSE",0,0,0,4,5,7,"EIF3C_MOUSE","Q8R1B4","Eif3c"
"EIF3D_MOUSE","EIF3D_MOUSE",0,0,0,2,1,4,"EIF3D_MOUSE","O70194","Eif3d"
"EIF3E_MOUSE","EIF3E_MOUSE",0,0,0,9,3,9,"EIF3E_MOUSE","P60229","Eif3e"
"EIF3F_MOUSE","EIF3F_MOUSE",0,0,0,4,0,6,"EIF3F_MOUSE","Q9DCH4","Eif3f"
"EIF3G_MOUSE","EIF3G_MOUSE",1,0,0,1,0,4,"EIF3G_MOUSE","Q9Z1D1","Eif3g"
"EIF3K_MOUSE","EIF3K_MOUSE",0,0,0,2,0,4,"EIF3K_MOUSE","Q9DBZ5","Eif3k"
"EIF3L_MOUSE","EIF3L_MOUSE",0,0,0,4,2,11,"EIF3L_MOUSE","Q8QZY1","Eif3l"
"EIF3M_MOUSE","EIF3M_MOUSE",0,0,0,3,2,9,"EIF3M_MOUSE","Q99JX4","Eif3m"
"ELOC_MOUSE","ELOC_MOUSE",0,0,0,1,0,2,"ELOC_MOUSE","P83940","Eloc"
"ELP1_MOUSE","ELP1_MOUSE",0,0,0,2,2,5,"ELP1_MOUSE","Q7TT37","Elp1"
"ELP2_MOUSE","ELP2_MOUSE",0,0,0,1,0,2,"ELP2_MOUSE","Q91WG4","Elp2"
"ELP3_MOUSE","ELP3_MOUSE",0,0,0,2,1,4,"ELP3_MOUSE","Q9CZX0","Elp3"
"ENOA_MOUSE","ENOA_MOUSE",1,0,0,12,6,15,"ENOA_MOUSE","P17182","Eno1"
"ENPL_MOUSE","ENPL_MOUSE",4,0,2,46,52,41,"ENPL_MOUSE","P08113","Hsp90b1"
"ERF1_MOUSE","ERF1_MOUSE",0,0,0,1,0,4,"ERF1_MOUSE","Q8BWY3","Etf1"
"ERF3A_MOUSE","ERF3A_MOUSE",0,0,0,1,1,0,"ERF3A_MOUSE","Q8R050","Gspt1"
"ERP29_MOUSE","ERP29_MOUSE",0,0,0,12,1,9,"ERP29_MOUSE","P57759","Erp29"
"ERP44_MOUSE","ERP44_MOUSE",0,0,0,14,3,13,"ERP44_MOUSE","Q9D1Q6","Erp44"
"ES8L2_MOUSE","ES8L2_MOUSE",0,0,0,4,0,2,"ES8L2_MOUSE","Q99K30","Eps8l2"
"ESTD_MOUSE","ESTD_MOUSE",0,0,0,2,0,5,"ESTD_MOUSE","Q9R0P3","Esd"
"EZRI_MOUSE","EZRI_MOUSE",0,0,0,11,5,12,"EZRI_MOUSE","P26040","Ezr"
"F10A1_MOUSE","F10A1_MOUSE",0,0,0,4,1,5,"F10A1_MOUSE","Q99L47","St13"
"FA49B_MOUSE","FA49B_MOUSE",0,0,0,1,0,1,"FA49B_MOUSE","Q921M7","Fam49b"
"FABP5_MOUSE","FABP5_MOUSE",0,3,0,5,0,6,"FABP5_MOUSE","Q05816","Fabp5"
"FAS_MOUSE","FAS_MOUSE",0,0,0,3,1,22,"FAS_MOUSE","P19096","Fasn"
"FBLN7_MOUSE","FBLN7_MOUSE",0,0,0,4,4,0,"FBLN7_MOUSE","Q501P1","Fbln7"
"FBN1_MOUSE","FBN1_MOUSE",0,0,0,2,6,36,"FBN1_MOUSE","Q61554","Fbn1"
"FBXW8_MOUSE","FBXW8_MOUSE",0,0,0,1,0,1,"FBXW8_MOUSE","Q8BIA4","Fbxw8"
"FERM2_MOUSE","FERM2_MOUSE",0,0,0,10,6,14,"FERM2_MOUSE","Q8CIB5","Fermt2"
"FILA2_MOUSE","FILA2_MOUSE",0,0,0,2,1,0,"FILA2_MOUSE","Q2VIS4","Flg2"
"FKB1A_MOUSE","FKB1A_MOUSE",0,1,1,1,0,0,"FKB1A_MOUSE","P26883","Fkbp1a"
"FKBP2_MOUSE","FKBP2_MOUSE",0,2,0,4,0,3,"FKBP2_MOUSE","P45878","Fkbp2"
"FKBP4_MOUSE","FKBP4_MOUSE",0,0,0,1,0,5,"FKBP4_MOUSE","P30416","Fkbp4"
"FLNA_MOUSE","FLNA_MOUSE",0,0,0,5,0,8,"FLNA_MOUSE","Q8BTM8","Flna"
"FLNB_MOUSE","FLNB_MOUSE",2,0,0,15,9,48,"FLNB_MOUSE","Q80X90","Flnb"
"FNTA_MOUSE","FNTA_MOUSE",0,0,0,2,0,2,"FNTA_MOUSE","Q61239","Fnta"
"FOXO4_MOUSE","FOXO4_MOUSE",0,0,0,7,0,8,"FOXO4_MOUSE","Q9WVH3","Foxo4"
"FRIH_MOUSE","FRIH_MOUSE",0,0,0,2,0,4,"FRIH_MOUSE","P09528","Fth1"
"FRIL1_MOUSE","FRIL1_MOUSE",0,0,0,4,0,7,"FRIL1_MOUSE","P29391","Ftl1"
"FSCN1_MOUSE","FSCN1_MOUSE",0,0,0,8,3,13,"FSCN1_MOUSE","Q61553","Fscn1"
"G3P_MOUSE","G3P_MOUSE",0,0,0,16,11,21,"G3P_MOUSE","P16858","Gapdh"
"GALE_MOUSE","GALE_MOUSE",0,0,0,3,0,10,"GALE_MOUSE","Q8R059","Gale"
"GALK1_MOUSE","GALK1_MOUSE",0,0,0,4,1,10,"GALK1_MOUSE","Q9R0N0","Galk1"
"GANAB_MOUSE","GANAB_MOUSE",0,0,0,22,13,28,"GANAB_MOUSE","Q8BHN3","Ganab"
"GBB1_MOUSE","GBB1_MOUSE",0,0,0,6,0,7,"GBB1_MOUSE","P62874","Gnb1"
"GBB2_MOUSE","GBB2_MOUSE",0,0,0,4,0,5,"GBB2_MOUSE","P62880","Gnb2"
"GBB4_MOUSE","GBB4_MOUSE",0,0,0,5,0,7,"GBB4_MOUSE","P29387","Gnb4"
"GDIA_MOUSE","GDIA_MOUSE",0,0,0,4,0,8,"GDIA_MOUSE","P50396","Gdi1"
"GDIB_MOUSE","GDIB_MOUSE",0,0,0,10,6,21,"GDIB_MOUSE","Q61598","Gdi2"
"GDIR1_MOUSE","GDIR1_MOUSE",0,1,0,9,5,9,"GDIR1_MOUSE","Q99PT1","Arhgdia"
"GELS_MOUSE","GELS_MOUSE",0,0,0,21,19,26,"GELS_MOUSE","P13020","Gsn"
"GFPT1_MOUSE","GFPT1_MOUSE",0,0,0,22,24,25,"GFPT1_MOUSE","P47856","Gfpt1"
"GIT2_MOUSE","GIT2_MOUSE",0,0,0,1,2,3,"GIT2_MOUSE","Q9JLQ2","Git2"
"GLCNE_MOUSE","GLCNE_MOUSE",0,0,0,9,9,12,"GLCNE_MOUSE","Q91WG8","Gne"
"GLRX3_MOUSE","GLRX3_MOUSE",0,0,0,3,0,7,"GLRX3_MOUSE","Q9CQM9","Glrx3"
"GLU2B_MOUSE","GLU2B_MOUSE",0,0,0,7,8,9,"GLU2B_MOUSE","O08795","Prkcsh"
"GLUC_MOUSE","GLUC_MOUSE",1,1,0,0,0,0,"GLUC_MOUSE","P55095","Gcg"
"GMPPA_MOUSE","GMPPA_MOUSE",0,0,0,2,0,3,"GMPPA_MOUSE","Q922H4","Gmppa"
"GMPPB_MOUSE","GMPPB_MOUSE",0,0,0,8,5,11,"GMPPB_MOUSE","Q8BTZ7","Gmppb"
"GNAI2_MOUSE","GNAI2_MOUSE",0,0,0,3,3,9,"GNAI2_MOUSE","P08752","Gnai2"
"GNAI3_MOUSE","GNAI3_MOUSE",0,0,0,5,2,6,"GNAI3_MOUSE","Q9DC51","Gnai3"
"GNAS1_MOUSE","GNAS1_MOUSE",0,0,0,3,1,0,"GNAS1_MOUSE","Q6R0H7","Gnas"
"GNPI1_MOUSE","GNPI1_MOUSE",0,0,0,2,0,2,"GNPI1_MOUSE","O88958","Gnpda1"
"GPX1_MOUSE","GPX1_MOUSE",0,0,0,5,0,4,"GPX1_MOUSE","P11352","Gpx1"
"GPX4_MOUSE","GPX4_MOUSE",0,0,0,1,0,2,"GPX41_MOUSE","O70325","Gpx4"
"GRP75_MOUSE","GRP75_MOUSE",0,0,0,1,1,1,"GRP75_MOUSE","P38647","Hspa9"
"GSTP1_MOUSE","GSTP1_MOUSE",0,0,0,3,0,4,"GSTP1_MOUSE","P19157","Gstp1"
"GTR1_MOUSE","GTR1_MOUSE",0,0,0,4,2,5,"GTR1_MOUSE","P17809","Slc2a1"
"H2AX_MOUSE","H2AX_MOUSE",0,0,0,6,0,3,"H2AX_MOUSE","P27661","H2ax"
"H2B1B_MOUSE","H2B1B_MOUSE",0,1,0,3,0,3,"H2B1B_MOUSE","Q64475","Hist1h2bb"
"H2B1C_MOUSE","H2B1C_MOUSE",0,1,1,3,0,3,"H2B1C_MOUSE","Q6ZWY9","Hist1h2bc"
"H2B1F_MOUSE","H2B1F_MOUSE",0,1,0,3,0,3,"H2B1F_MOUSE","P10853","Hist1h2bf"
