"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"CREG1_MOUSE",0,0,0,2,0,3,"O88668","CREG1_MOUSE","Creg1"
"CREL2_MOUSE",0,5,0,9,2,6,"Q9CYA0","CREL2_MOUSE","Creld2"
"CRYAB_MOUSE",3,0,0,0,0,4,"P23927","CRYAB_MOUSE","Cryab"
"CSN3_MOUSE",0,0,0,1,0,3,"O88543","CSN3_MOUSE","Cops3"
"CSRP1_MOUSE",0,3,0,3,0,2,"P97315","CSRP1_MOUSE","Csrp1"
"CUL7_MOUSE",0,0,0,1,0,2,"Q8VE73","CUL7_MOUSE","Cul7"
"CYB5_MOUSE",0,0,0,1,0,2,"P56395","CYB5_MOUSE","Cyb5a"
"CYTB_MOUSE",0,4,0,3,0,4,"Q62426","CYTB_MOUSE","Cstb"
"DAD1_MOUSE",0,0,0,2,0,2,"P61804","DAD1_MOUSE","Dad1"
"DAPK2_MOUSE",0,0,0,3,1,4,"Q8VDF3","DAPK2_MOUSE","Dapk2"
"DC1I2_MOUSE",0,0,0,3,2,5,"O88487","DC1I2_MOUSE","Dync1i2"
"DCTN2_MOUSE",0,0,0,1,0,3,"Q99KJ8","DCTN2_MOUSE","Dctn2"
"DDB1_MOUSE",0,0,0,3,3,31,"Q3U1J4","DDB1_MOUSE","Ddb1"
"DDX3X_MOUSE",0,0,0,6,4,8,"Q62167","DDX3X_MOUSE","Ddx3x"
"DEGS1_MOUSE",0,0,0,1,1,2,"O09005","DEGS1_MOUSE","Degs1"
"DESP_MOUSE",0,0,0,0,5,2,"E9Q557","DESP_MOUSE","Dsp"
"DEST_MOUSE",0,1,0,5,1,5,"Q9R0P5","DEST_MOUSE","Dstn"
"DIAP1_MOUSE",0,0,0,2,2,0,"O08808","DIAP1_MOUSE","Diaph1"
"DJB11_MOUSE",1,0,0,9,9,8,"Q99KV1","DJB11_MOUSE","Dnajb11"
"DNJA1_MOUSE",0,0,0,2,0,3,"P63037","DNJA1_MOUSE","Dnaja1"
"DNJB1_MOUSE",0,0,0,4,0,6,"Q9QYJ3","DNJB1_MOUSE","Dnajb1"
"DNJC3_MOUSE",0,0,0,15,10,16,"Q91YW3","DNJC3_MOUSE","Dnajc3"
"DNPEP_MOUSE",0,0,0,7,2,15,"Q9Z2W0","DNPEP_MOUSE","Dnpep"
"DOPD_MOUSE",0,0,0,1,0,1,"O35215","DOPD_MOUSE","Ddt"
"DPP3_MOUSE",0,0,0,7,4,15,"Q99KK7","DPP3_MOUSE","Dpp3"
"DUS6_MOUSE",0,0,0,1,0,1,"Q9DBB1","DUS6_MOUSE","Dusp6"
"DUS7_MOUSE",0,0,0,1,0,1,"Q91Z46","DUS7_MOUSE","Dusp7"
"DYHC1_MOUSE",0,0,0,31,26,53,"Q9JHU4","DYHC1_MOUSE","Dync1h1"
"DYL1_MOUSE",0,0,0,1,0,2,"P63168","DYL1_MOUSE","Dynll1"
"DYLT1_MOUSE",0,0,0,1,0,1,"P51807","DYLT1_MOUSE","Dynlt1"
"DYN2_MOUSE",0,0,0,5,6,7,"P39054","DYN2_MOUSE","Dnm2"
"E41L1_MOUSE",0,0,0,3,2,0,"Q9Z2H5","E41L1_MOUSE","Epb41l1"
"E41L2_MOUSE",0,0,0,1,2,2,"O70318","E41L2_MOUSE","Epb41l2"
"ECHA_MOUSE",0,0,0,1,0,2,"Q8BMS1","ECHA_MOUSE","Hadha"
"ECM29_MOUSE",0,0,0,2,1,0,"Q6PDI5","ECM29_MOUSE","Ecpas"
"EF1A1_MOUSE",3,1,2,22,18,27,"P10126","EF1A1_MOUSE","Eef1a1"
"EF1B_MOUSE",0,0,0,10,0,6,"O70251","EF1B_MOUSE","Eef1b"
"EF1D_MOUSE",0,0,0,5,1,9,"P57776","EF1D_MOUSE","Eef1d"
"EF1G_MOUSE",0,0,0,12,9,19,"Q9D8N0","EF1G_MOUSE","Eef1g"
"EF2_MOUSE",1,0,0,29,30,35,"P58252","EF2_MOUSE","Eef2"
"EFHD2_MOUSE",0,0,0,5,0,6,"Q9D8Y0","EFHD2_MOUSE","Efhd2"
"EI3JA_MOUSE",0,2,0,8,1,6,"Q3UGC7","EI3JA_MOUSE","Eif3j1"
"EI3JB_MOUSE",0,2,0,8,1,6,"Q66JS6","EI3JB_MOUSE","Eif3j2"
